text,label,wcount
Bjp विधायक अनिल उपाध्याय की इस बयान पर क्या कहेगे मोदी जी इन video को इतना वायरल करो की ये पूरा हिन्दुस्तान देख सके,0,24
Bjp विधायक अनिल उपाध्याय की इस बयान पर क्या कहेगे मोदी जी इन video को इतना वायरल करो की ये पूरा हिन्दुस्तान देख सके,1,24
अपने ही घर के पिछवाड़े से भागते इस व्यक्ति को पहचानते हैं हिंट एक भाजपा शासित राज्य के मुख्यमंत्री हैं। बूझो तो मानु,0,23
अपने ही घर के पिछवाड़े से भागते इस व्यक्ति को पहचानते हैं हिंट एक भाजपा शासित राज्य के मुख्यमंत्री हैं। बूझो तो मानु,1,23
इमाम कामरा अरफ़ा स्वरा ये पाकिस्तान में हिंदू बहनें हैं इन बहनों का दुःख दर्द समझ आये तो कुछ व्यक्त भी कर देना रोहिंग्या व बांग्लादेशी घुसपेठियों से तो बहुत याराना है हिंदुओं से इतनी घृणा क्यों है,0,38
इमाम कामरा अरफ़ा स्वरा ये पाकिस्तान में हिंदू बहनें हैं इन बहनों का दुःख दर्द समझ आये तो कुछ व्यक्त भी कर देना रोहिंग्या व बांग्लादेशी घुसपेठियों से तो बहुत याराना है हिंदुओं से इतनी घृणा क्यों है,1,38
कर्नाटक BJP के CM के मंच से ही जब गुरु जी ने CAA का विरोध किया तो CM साहब भड़क उठे ऐसी बे इज्जती आपने कभी नही देखी होगी दलाल मीडिया के चाटूकार पत्रकारो ने एक बार भी नही चलाया करो तो ज़रा फेमस गुरू जी को,1,47
कर्नाटक BJP के CM के मंच से ही जब गुरु जी ने CAA का विरोध किया तो CM साहब भड़क उठे ऐसी बे इज्जती आपने कभी नही देखी होगी दलाल मीडिया के चाटूकार पत्रकारो ने एक बार भी नही चलाया करो तो ज़रा फेमस गुरू जी को,0,47
पालघर की तर्ज पर पंजाब के होशियार पुर में संत पुष्पेंद्र स्वरूप जी महाराज पर शांतिदूतों ने हमला किया है जब वो घर पर बेटे के साथ थे!! आखिर ये साधु संत की हत्या कांग्रेस शासित राज्यो में ही क्यों हो रही है,1,43
पालघर की तर्ज पर पंजाब के होशियार पुर में संत पुष्पेंद्र स्वरूप जी महाराज पर शांतिदूतों ने हमला किया है जब वो घर पर बेटे के साथ थे!! आखिर ये साधु संत की हत्या कांग्रेस शासित राज्यो में ही क्यों हो रही है,0,43
भाउ श्री के ब्लेक टिकिट बेचकर खुद बहुत काला पैसे कमाए होओर काले दिन की बात करते शर्म नही साले सांढ़ तू खुद लुटियन मोड़ में है,1,27
भाउ श्री के ब्लेक टिकिट बेचकर खुद बहुत काला पैसे कमाए होओर काले दिन की बात करते शर्म नही साले सांढ़ तू खुद लुटियन मोड़ में है,0,27
ये क्या हो गया सच्चा मुसलमान कभी ऐसा नही कर सकता तो इसका मतलब क्या समझा जाये शाहरुख खान सच्चे मुसलमान नही है ओ भी मात्र दो करोड़ रुपये के लिए !,0,32
ये क्या हो गया सच्चा मुसलमान कभी ऐसा नही कर सकता तो इसका मतलब क्या समझा जाये शाहरुख खान सच्चे मुसलमान नही है ओ भी मात्र दो करोड़ रुपये के लिए !,1,32
शाहबाद मारकंडा में नकली EVM मशीने पकड़ी गई दावा है BJP वालों की हरकत,0,14
शाहबाद मारकंडा में नकली EVM मशीने पकड़ी गई दावा है BJP वालों की हरकत,1,14
