text,label,wcount,calculated_word_count
वह एक ब्लो-मशाल है!,1,4,4
आहयह अलोहा स्नैक बार है,1,5,5
चीन को तीसरी पटखनी!,0,4,4
टेर्ररिस्ट डोनेशन बाय कांग्रेस,1,4,4
बहुत कमीनी है तेरा पोस्ट,1,5,5
उन्होंने हीटर तेज़ कर दिया।,1,5,5
डम्पट्रम्प और हिलेरी एम,1,4,4
राजने कैस मन रोश पर्व,0,5,5
रोजगार दो जुमला नही ।,0,5,5
भारत-चीन विवाद पर बड़ी खबर,0,5,5
निश्चित रूप से आप जोश,1,5,5
अतिथि अतिथि,1,2,2
वो सब छोड़ो,0,3,3
राजनीतिक धमकी की काली कला,1,5,5
जोनभ्रमित,1,1,1
कोरोना संक्रमण पर ताजा अपडेट,0,5,5
पप्पू कमीना,0,2,2
सिर्फ 5 क्रिस्पी क्रिटर्स।,1,4,4
बर्ड फ्ल के मामल कार्टून,0,5,5
आरएसएस के आतंकवादी हैं,1,4,4
साला बहन चोद,0,3,3
मेरी नही तेरी कमीने,0,4,4
ये साला गद्दार था नेहरू,1,5,5
देश में के रिकॉर्ड मामले,0,5,5
मास्क एटिकेट क्या हैं,0,4,4
बहुत क्रांतिकारी है साला,0,4,4
अच्छा और सच्चा,1,3,3
संविधान दिवस कार्टून,0,3,3
कमीनी,0,1,1
रुझान,1,1,1
यह असंवैधानिक होगा,1,3,3
यहूदी पुराने पीडोफाइल हैं,1,4,4
शानदार!,1,1,1
एनसीबी ऑफिस पहुंची रिया चक्रवर्ती,0,5,5
अतिथि अतिथि,1,2,2
एड्रियन बामफोर्थ एड्रियन बामफोर्थ,1,4,4
अच्छा लड़का।,1,2,2
विज्ञापन,0,1,1
कोग्रेस कमीनी है गद्दार है,0,5,5
संभावना नहीं।,1,2,2
धन्यवाद चीन।,1,2,2
एक कमीना कम हों जाएगा,0,5,5
रण्डी भांड कुतिया,0,3,3
दोनो भी नालायक है साले,0,5,5
आकाशवाणी से प्रस्तुत हैं ोपहरसमाचार,0,5,5
कुतिया साली,0,2,2
दुनियाभर में कोरोना का हाल,0,5,5
आज का सुविचार,0,3,3
एनएफएल का बहिष्कार करें,1,4,4
वह जानता था,1,3,3
तबरेज़ अंसारी का जनाज़ा,1,4,4
रामजी बड़ौद,1,2,2
-कृपया आवश्यक वैधानिक कार्यवाही करें।,0,5,5
भक्तों का जीजा कमीना कश्यप,0,5,5
हरियाणा कोविड-19 अपडेट,0,3,3
मैं बकवास से चकित हूँ,1,5,5
झूठा,1,1,1
राजस्थान रॉयल्स को झटका,0,4,4
भारत वैक्सीन सप्ल कार्टून,0,4,4
क्या इंसानियत मर चुकी है,0,5,5
गुंडा है कमीना,0,3,3
कुतिया चुप रहो,0,3,3
Google डोनाल्ड ट्रम्प पीडोफाइल,1,4,4
साला हारमी है ंजय_सिंह_गुंडा_है,0,4,4
फ़ेंकू कमीना,0,2,2
IPL देख रहा होगा कमिना,0,5,5
बीआरडी मेडिकल कॉलेज गोरखपुर में,0,5,5
सुशांत मामले में नया मोड़,0,5,5
प्रणब मुखर्जी नहीं रहे,0,4,4
असत्याग्रही!,1,1,1
अमिताभ बच्चन असिम्प्टोटिक हैं।,1,4,4
इस वक्त की बड़ी ख़बरें,0,5,5
साले सब जाएगें जेल,0,4,4
आतंकवादी साला,0,2,2
अतिथि अतिथि,1,2,2
दुःखद छोटा ज़ेनोफ़ोब,1,3,3
अलविदा प्रणब मुखर्जी 1935-2020,0,4,4
चुतिया है साला।,0,3,3
कंगना को आगरा भेजो।,0,4,4
अतिथि अतिथि,1,2,2
सभी को ईद मुबारक।,0,4,4
कमीनी होति है लडकिया,0,4,4
देखें बड़ी ख़बरें,0,3,3
कोरो वैक्सीन तैयार कार्टून,0,4,4
पेट्रोल कीमत कार्टून,0,3,3
साले ऐक नम्बर के गुन्डे,0,5,5
अतिथि अतिथि,1,2,2
वह जीवित है,1,3,3
चाइना में बनता नकली बीफ़,1,5,5
मानवाधिकार दिवस कार्टून,0,3,3
डेस्कपायलट डेस्कपायलट,1,2,2
ट्वीटर हैंडल वारन बफेट नह,1,5,5
बूम पाय वीडिय भारत नह,1,5,5
सहयोगी घबरा गए।,1,3,3
राफेल फाइटर जेट क्रैश,1,4,4
पिटा चीन रोया पाकिस्तान,0,4,4
dxfbdJPG 1036x1436 231 KB,1,4,4
कौन से देश अनुपस्थित रहे,1,5,5
बटाला ब्लास्ट वीडियो,1,3,3
क्या सचमुच ये मरीज़ हैं,1,5,5
Google डोनाल्ड ट्रम्प पीडोफाइल,1,4,4
ऐसे करें अप्लाई,0,3,3
भाग 3 मैरी पूजा,1,4,4
एम आईएफ िसान,0,3,3
विशेषज्ञ सलाह,0,2,2
नहीं।,0,1,1
गिरती अर्थव्यवस्था और बढ़ती बेरोजगारी,0,5,5
कोई दिमाग नहीं,1,3,3
सिंक्रनाइज़ मेकअप,1,2,2
सुप्रीम कोर्ट से लाइव प,0,5,5
क्योंरी गंजेडी कुतिया,0,3,3
ड्राइवरलेस मेट्र के उद्घाटन कार्टून,0,5,5
दलदल को सुखाना - youtubecom/watchv=o1takU08aOI,1,5,5
अच्छा डॉक्टर!,1,2,2
शानदार!,1,1,1
बहुत अच्छी बात,1,3,3
ंजय_सिंह_गुंडा_है मार साले को,0,4,4
- आवश्यक कार्यवाही हेतु।,0,4,4
ठंडा,1,1,1
सुलेमानी पर ड्रोन हमले,1,4,4
निजीकरण हटाओ बेरोजगारी मिटाओ।,0,4,4
साले चोर संजय सिंह,0,4,4
शानदार!,1,1,1
pure bjp अंधभक्तनी। कमीनी।,0,4,4
कमीना कुत्ता संजय,0,3,3
कूतिया क्या बक रही है,0,5,5
अच्छा लगता है पेड्रो।,1,4,4
भारत वैक्सीनेशन तैयार कार्टून,0,4,4
देखिए LIVE के साथ,0,4,4
हास्यास्पद,1,1,1
और कमीनी चुड़ैल कैसी है,0,5,5
बढ़िया लेख!,1,2,2
कुत्ते को अरेस्ट करो,0,4,4
ओबामालैंड में,1,2,2
तू निहायत कमीना इंसान है,0,5,5
कमीनी बाबर सेना,0,3,3
प्रणब मुखर्जी नहीं रहे,0,4,4
अच्छा ।,0,2,2
मासूम,1,1,1
गुंडा है साला,0,3,3
बिहार एनडीए जीत कार्टून,0,4,4
बढ़िया लेख,1,2,2
न्यू इंडिया का सच!,1,4,4
मध्यप्रदेश गोडस ज्ञानशाल कार्टून,0,4,4
हिंजड़ा कमिना गिरगिट ब्रांड,0,4,4
अच्छी तरह से किया!,1,4,4
